"","session","model"
"0","1","A13,A16,B4,B17,B8,C56,C57,P67,P82"
"1","2","B31,B21,B24,B27,A10,A10,B27,P1,P34,P33"
"2","3","B17,C4,C7,C10,C17,P77"
"3","4","A34,A37,C4,C25"
"4","5","C21"
"5","6","C7,C15,C53,B17,B26"
"6","7","A11,C5,P60,P56,P55,P48,P50,P42,P23,P1,B4"
"7","8","C49,B23,C5,C19,C34,C40,C50,C42,B24"
"8","9","A18,A1,B26"
"9","10","A1,B1,B4,B16,B17"
"10","11","A3"
"11","12","B4,B3,B3,B30,B27,C17,P16"
"12","13","A1,A2,A5"
"13","14","A41"
"14","15","A1,A2,A5,B1,B2,B3,B13,B15,B16,B17,B9,B20,B21,B23,B25,B26,B33,B34,C2,C5,C33,C35,C55,C56,C59"
"15","16","P61,P62"
"16","17","C7,C57,A6,C47,B26,B33,B32"
"17","18","A17,A17,A2,A1,A7,A8,A9,A20,A34,A32,C7"
"18","19","A10,C11,C5,C22,P12"
"19","20","A4,A23,P1"
"20","21","P12,B12,B10,B15,C14,C5,P1"
"21","22","A12,A10,A31,A20"
"22","23","A15,B27,P56"
"23","24","B1,B7,B4,B32,C15,P1"
"24","25","B17,C7"
"25","26","A11,A10"
"26","27","B2,A4,C2,C8,C18"
"27","28","A6,A15,A10,C7,P2,P10"
"28","29","A11,A1,A7"
"29","30","B7,B9,C26,C19,C31,C53,A15,A5,A17,A35,A36"
"30","31","A16,B4,B15,C5,C17,C17,A16,B4,B34,C56,C49,C46"
"31","32","A2,A12,P29"
"32","33","A17,A7,A2,A3,P1,P2,A21,A41,P12,P63,P48,P30,P32,P66,P57,P12,B3,P50,P43,P12,P4"
"33","34","C17,B1"
"34","35","B4,A28,A21,A16,A11"
"35","36","P16,P16"
"36","37","B30,B28,B31,A8,A1,A11,P15"
"37","38","P16,P33,A11,A5"
"38","39","C19,A1"
"39","40","A2,A5,A9,A12,A11,B15,B33"
"40","41","A1,A19"
"41","42","A5"
"42","43","B19,B24,B26,B27,B23,B17,B16,B13,B14,B26,B24,B6,B26,B32,B26,B26,B26,B26,B26,B26,B26,B26,B23"
"43","44","A5,A12,B27,B3,B2,B10,B14,B6,C7,C19,C57"
"44","45","A4,A15,A29"
"45","46","A11"
"46","47","B1,B10,B17,P1,P49"
"47","48","A4,P4,P15"
"48","49","B4,B16,B2,B1,B9,C5,C7,C3,C9,C17,C18,C11,C14,C34,C36,C37,C39,C49,C50,C51,C52,C57,C18,A1,A2,A3,A5,A6,A7,A8,A9,A10,A12,A13,A15,A16,A17,A31,A19,A36,A42"
"49","50","B19,B24,B29,B23"
"50","51","A11,A1,A3,A3"
"51","52","A13,B9,B13,B12,A13,B10,B11,P16,P1"
"52","53","A13,A2,A5"
"53","54","P4,P6,P17,P10"
"54","55","P11,P16,P15,P15,C1,C13,C13,C17"
"55","56","A14,A15,A24,A35,B4,B1,B32,C14,P20"
"56","57","P40,P51,P61"
"57","58","P4,P25,A7,A11,A9,A23"
"58","59","C44,C45"
"59","60","C17,A15,A4,B4,B1,B1"
"60","61","A15,B1,B10,B12,B15,B24"
"61","62","A6"
"62","63","C13,C1,C5,C14,C18"
"63","64","B10,B11,B12,B13,B14,B13,B10,B20,B21,B22,B27,B30,B12,B10"
"64","65","A13,A21,A14,A16"
"65","66","B15,A4,A28"
"66","67","A5,A6,A10,A9,A12,A15,A18,A34,A21,A30,B4,B3,B1,B15,B32,B33,C4,C35,C49,C58,C55"
"67","68","A6,B4"
"68","69","A16,C2,C4,C9,C1,A2,B1,C35,C21,C54,C56,B4"
"69","70","B31,B23,B24"
"70","71","A16"
"71","72","C4"
"72","73","A26"
"73","74","A30,A33,A38,A39,P8,P17,P19"
"74","75","B4"
"75","76","P19,C5,P39,P49,P60,P61,P80,P78,P76,P82,P82,A15,A40,C17,P39"
"76","77","B11,B15,B17,B3,B1,B5"
"77","78","C25"
"78","79","A1,A2,A3,A5,P3,P8,P7,P14,P17,P18,P35,P33"
"79","80","P6,C6,A6"
"80","81","P15,B4,B17,B15,B15,B10,B16,P15"
"81","82","A2,A8,A11,A12,B13,B17,C12,C17,C42,P15"
"82","83","P16,P1,P3,P11,P6,C6,C18,C5,P6"
"83","84","B24,B25,B22,C17"
"84","85","C10"
"85","86","C14,C30,C50,A11,A26,A32,A42,B1,B4,B14,B13,B19,B32,B27"
"86","87","A5,A8,A15,P1"
"87","88","P4,P8,P3,C2,C6,C9"
"88","89","C35"
"89","90","P1"
"90","91","A1,C18,C8,B10,P8"
"91","92","A32"
"92","93","A2"
"93","94","P6,P5,A2,A3,A42,A41,P1,P25,P70,P82,B1,B27,B2"
"94","95","C58,C55"
"95","96","B8,B1,B23,C56,A4"
"96","97","P6"
"97","98","C1"
"98","99","P33,P36,P25,B14,B13,B15,B3,B23,B23"
"99","100","A1,A2,P2,P16,P1,P3,A5,C6,C15,C12,C2,P1"
"100","101","B2"
"101","102","A12,P12,C17,C17"
"102","103","A10,A12,A10,A12"
"103","104","B10,B14,B3"
"104","105","B16,B10"
"105","106","P10,P14"
"106","107","A11,A15,A10,A10,A4,B16,B32,C15,C42,C50,P1,P6,P17,P9,P11,P16,P20,P23,P26,P33,P33,P34,P52,P43,P39,P55,P64"
"107","108","A11,P4,P1,P1,P17,P7"
"108","109","A4,A5,A12,B4,B29"
"109","110","A17,C14,P12,P17,P33,P36,P37,P69"
"110","111","B14"
"111","112","B17,B16,B25,B29,B34,P12,P33,A7"
"112","113","A13,B28,B21,B20,B26,B26,B13,C13,C18"
"113","114","A1,A12,A24"
"114","115","C57,A30"
"115","116","A10,A37,B24"
"116","117","C53"
"117","118","A4"
"118","119","B12,C17,C37,C40,A10,A11,A9,A17,A7,A8"
"119","120","A21,A33,A22,B16,B17,B1,B16"
"120","121","A1,A6,A15,B9,C6,C41,B9,A15"
"121","122","A7,A10,P1"
"122","123","C2,P2,P6,P13,P16,P20,P33,C22"
"123","124","P63,P61,A11,A15,A31,B14,C6"
"124","125","A1,A10,A11,A2,A10,A7,A35,A36,A37,A38,A39,A40,B10,B11,B12,B13,B14,B17,B1,B15,B19,B20,B21,B22,B24,B25,B26,B27,B28,B29,B31,B32,B33,B34,C50,C49,P1,P4"
"125","126","C5,C16"
"126","127","A15,C35,C2,A15,A15,A2"
"127","128","C1"
"128","129","C6"
"129","130","P12,P11,P35,P25,P39,P46"
"130","131","C8,C5,C6"
"131","132","A11,A8,B15,B10,B13,B7,C4,C14,C10"
"132","133","B4,B10,B9,B2"
"133","134","A6,C48"
"134","135","P1,P16,P17,C53"
"135","136","A11"
"136","137","A10,A2,A6"
"137","138","A13,A21,A21,A33,A41,A31,P4,P9,P10,P81,A21,A28,A31,A33,A41"
"138","139","B4,A3,A3,P1,P4,P17"
"139","140","A5,A7,P8,P1"
"140","141","A1,A4,C14,C7"
"141","142","P1,P2,C2,C54"
"142","143","C5,C56,P26,P29,P80"
"143","144","B31,P1,P43"
"144","145","A11,A3,B17,C35"
"145","146","A1,A2,A3,A13,A15,A17,C7,C4,C58,B27,B27,C58,C4,C7,A17,A15,A13,A3,A4"
"146","147","P17"
"147","148","B14,B10,B12,B11,B22,B23"
"148","149","A12,A5,P6,P14"
"149","150","P1"
"150","151","C14"
"151","152","P12,P15,C2,C13"
"152","153","B10,C6,A2,P23,C50,C6"
"153","154","B3,B9,A21,B24"
"154","155","A16,A17"
"155","156","C3"
"156","157","P15,C1,C5,C8,C17,C41,C53,C46,C31,C6,C7,C5,C15,B1,B16,B13,B25,B26,A30,A37,P1,P2,P38,P43,P46,P47,P44,P49,P59,P60,P3,P1"
"157","158","B32"
"158","159","A31,P48"
"159","160","P1,P34,P65"
"160","161","C6"
"161","162","P12,C9,C3,C38,C48,C38"
"162","163","C5,C16,C6"
"163","164","A28,A42,A4,C26"
"164","165","B3,B24,B26,B31,B32,C6"
"165","166","B28"
"166","167","C1,C5,C8,C10,C17"
"167","168","C12,C44,C44,C45,C21,C33,C21,P15,C12,C54,C54,C59,C47,C38,C38,C21,C1,C4,C26,C21,C20,C20,C27,C12,C38,C44,C33,C50,C45,C20,C12,C28,C43,P23,P19,P39,P42,P44,P49,P60,P58,C4,P6,P44,P37,P46,P48,P67,P70"
"168","169","B10"
"169","170","A4,A11,A10,A6,A23,B2,B4,B11,B13,B24,B32"
"170","171","A17,C15,C8,C9,A18,A6,A2,C9"
"171","172","P15,B2,B9,B26,B21,B20"
"172","173","A5,A13,A13,A15,A17,B4,A17,B10,B11,B11,B12,B13,B14,B22,B24,B25,B26,B29,B32,P1,P4,P6,P10,P16,P23,P23,P33"
"173","174","A4,P5,P2,P16,P17,P21,P34,P34,P34,P34,P49,P26"
"174","175","B2"
"175","176","B10"
"176","177","P3,A33,A30,P3"
"177","178","P39,A10"
"178","179","B6,B29,B30"
"179","180","A15"
"180","181","C36,C21,C40,C44,B11,A17,A2,P5,P7,P43,P72,P73,A2,A17"
"181","182","P6,P9,P5,P4,P14,P15,P17,P11,P9"
"182","183","A1,A2,A3,A4,A5,A6,A7,A9,B1,B2,B9,B8,B7,B5,B4,B3,C1,C5"
"183","184","A1,A11,A6,A17,A16,A15,A12,A19,A21,A34,A33,A30,A31,A37,C5,C8,C18,C24,C25,C30,C35,C37,C38,C41,C43,C45,C46,C48,C49,C50,C51,P1,P7,P12,P13,P15,P23,P38,P39,P40,P41,P57,P59,P67"
"184","185","P4,P8"
"185","186","A4,A12,C29,C30,C40,C49,C50,P8,P43,P71,P72"
"186","187","C48,C52,C30,C24,P38,P40,P43,P57,P41"
"187","188","A5,A1,A3,A6,A9,A10,A11,A12,A13,A32,A33,A33,A33,B4,B31,A33,A30"
"188","189","A12,A7"
"189","190","C13,C46,C51,P6,P2"
"190","191","C56"
"191","192","B10,A1,A2,A3,A5,A9,A10,A12,A17,A15,B4,B9,B14,C21,C44,C53,C54,A34,A39"
"192","193","C16,C5,C32,C19,A15,A17"
"193","194","C17,C5,C3,C33,C27,C40,C43,P23,P42,P46,P48,B9"
"194","195","C11,A5,A16,A10,P4,P17,P70"
"195","196","P6,P12,C5,C7,C17,C1,C59,C57,C22,C27,C33,C25,C24,C35,C41,B10,B13,B24,B23,B30,B19,B19,B33,P6,P20,P20,P33,P44,P52,P64,P57"
"196","197","A15,B4,B7,C5,C1,A11,A10,B13"
